Sukunimi;Yhteensä
Ahtinen;294
Ahto;111
Ahtokari;24
Ahtola;533
Ahtonen;339
Ahtoniemi;25
Ahtosalo;21
Ahva;39
Ahvalo;24
Ahven;55
Ahvenainen;782
Ahvenharju;21
Ahveninen;98
Ahvenisto;24
Ahvenjärvi;264
Ahvenkoski;61
Ahvenlammi;28
Ahvenlampi;167
Ahvenniemi;179
Ahvenranta;23
Ahvensalmi;73
Ahvenus;103
Ahvenvaara;43
Ahvo;62
Ahvonen;352
Aihonen;23
Aihos;23
Äijälä;1123
Äijäläinen;40
Äijänaho;24
Äijänen;166
Äijö;384
Äikää;139
Aikala;71
Äikäs;725
Aikasalo;30
Äikiä;56
Aikio;794
Aikioniemi;150
Aikkila;135
Aikko;22
Aikonen;20
Aila;68
Ailinpieti;55
Ailio;199
Ailunka;29
Ailus;39
Äimälä;32
Äimänen;20
Aimasmäki;47
Aimo;26
Aimola;49
Aimonen;51
Ainala;22
Ainali;166
Ainamo;35
Ainasoja;456
Ainassaari;79
Ainasto;29
Aine;53
Ainesjärvi;20
Aineslahti;25
Ainesmaa;28
Ainetdin;42
Ainiala;36
Ainikkamäki;33
Ainoa;31
Ainola;75
Ainonen;73
Aintila;70
Airaksinen;2175
Airamaa;28
Airamo;51
Airanne;26
Airas;411
Airaskorpi;22
Airasmaa;63
Airasvirta;20
Airiainen;38
Airikainen;117
Airikka;172
Airikkala;77
Airila;70
Airinen;34
Airio;285
Airisniemi;77
Airisto;99
Airo;140
Airola;477
Airos;37
Airosto;24
Airto;21
Aistola;20
Aitakangas;20
Aitala;31
Aitalaakso;30
Aitamaa;27
Aitamurto;84
Aitasalo;21
Aitavaara;31
Aitio;79
Aitoaho;25
Aitokari;24
Aitola;76
Aitolahti;28
Aitonurmi;27
Aitta;163
Aitta-aho;53
Aittakallio;28
Aittakari;24
Aittakumpu;69
Aittala;71
Aittamaa;94
Aittamäki;145
Aittanen;23
Aittaniemi;28
Aittapelto;23
Aittasalo;48
Aittokallio;127
Aittokoski;127
Aittokumpu;30
Aittola;353
Aittolahti;28
Aittolampi;41
Aittomaa;21
Aittomäki;179
Aittonen;24
Aittoniemi;119
Aitto-oja;437
Aivio;45
Ajakainen;35
Ajalin;62
Ajanki;117
Ajanko;60
Ajanti;20
Ajanto;24
Ajo;136
Ajomaa;26
Ajosenpää;24
Ajosmäki;21
Äkäslompolo;45
Akbari;65
Åke;110
Åker;22
Åkerback;43
Åkerberg;196
Åkerblad;20
Åkerblom;307
Åkerfelt;170
Åkerholm;108
Åkerlind;44
Åkerlund;1089
Åkerman;404
Åkermarck;23
Åkers;42
Åkerström;43
Åkesson;40
Akhtar;29
Akinci;27
Akiola;26
Akkala;35
Akkanen;600
Akkila;129
Äkkinen;30
Akkola;41
Akkoyun;28
Akola;63
Akolahti;59
Akonniemi;61
Akram;20
Äkräs;45
Akrenius;30
Aksela;77
Akseli;26
Akselin;78
Aksentjeff;23
Aksila;109
Aksola;25
Aksoy;26
Aktas;47
Akter;20
Akujärvi;91
al Gangaray;22
Al Take;34
Ala;125
Ala-aho;164
Ala-Aho;80
Ala-Äijälä;40
Aladin;21
Ala-Fossi;68
Ala-Haavisto;26
Alahäivälä;176
Ala-Hakuni;27
Alahäme;31
Ala-Hannula;40
Ala-Harja;40
Alaharju;37
Ala-Härkönen;26
Alahautala;41
Ala-Heikkilä;125
Ala-Hemmilä;24
Ala-Herttuala;33
Ala-Hiiro;56
Ala-Hongisto;20
Alahonko;28
Ala-Honkola;66
Alahuhta;111
Alahuhtala;40
Ala-Huikku;85
Ala-Hukkala;34
Ala-Hulkko;30
Ala-Hynnilä;30
Ala-Ikkelä;26
Ala-Ilkka;28
Ala-Ilomäki;42
Alainen;46
Alaiso;28
Alaja;45
Alajääski;59
Ala-Jääski;65
Alajääskö;79
Alajakku;23
Alajärvi;203
Alajoki;319
Ala-Jokimäki;22
Alajoutsijärvi;84
Alajuuma;109
Ala-Juusela;22
Ala-Kaarre;20
Alakahri;24
Alakangas;138
Ala-Kanto;32
Ala-Kantti;24
Ala-Kapee;33
Alakarhu;65
Alakarjula;36
Alakärppä;362
Ala-Karvia;40
Ala-Kasari;20
Alakastari;25
Ala-Katara;26
Ala-Kauhaluoma;32
Ala-Kauppila;34
Ala-Kauttu;29
Ala-Ketola;35
Ala-Keturi;41
Alakiikonen;34
Alakiuttu;81
Ala-Kleme;25
Alakojola;31
Ala-Kojola;39
Alakokkare;49
Ala-Kokkila;26
Ala-Kokko;88
Alakomi;22
Ala-Könni;37
Alakontiola;39
Alakopsa;99
Alakörkkö;32
Ala-Korpela;42
Alakorpi;35
Ala-Korpi;72
Alakorva;60
Alakoskela;66
Alakoski;408
Alakotila;158
Ala-Kotila;23
Ala-Krekola;72
Alakruuvi;24
Alakuijala;38
Alakulju;37
Ala-Kulju;35
Alakulppi;42
Alakunnas;45
Ala-Kurikka;38
Alakurtti;98
Ala-Kuusisto;21
Alakylä;39
Alakylmänen;40
Ala-Kyyny;21
Alalääkkölä;45
Alalahti;67
Ala-Lahti;72
Alalantela;57
Alalauri;54
Ala-Laurinaho;24
Ala-Leppilampi;20
Ala-Lipasti;50
Ala-Louko;29
Alaloukusa;30
Ala-Louvesniemi;30
Ala-Luhtala;28
Ala-Luopa;20
Alaluukas;24
Alaluusua;386
Alam;89
Alamaa;44
Alamäki;370
Ala-Mantila;28
al-Amarah;21
Alamartimo;77
Alamartin;51
Ala-Marttila;48
Alamattila;75
Ala-Mattinen;63
Alamaunu;49
Ala-Mäyry;23
Alamehtä;24
Alametsä;24
Alamettälä;40
Alamikkelä;88
Ala-Mononen;35
Ala-Mutka;66
Alanampa;36
Alanärä;61
Alander;520
Ålander;418
Alanen;2251
Alanenpää;44
Al-Ani;29
Alaniemi;109
Ala-Nikkola;141
Ala-Nikula;40
Alaniska;21
Alanissi;43
Ala-Nissilä;80
Ala-Nisula;44
Alaniva;34
Alanko;2285
Alankoja;30
Alanne;540
Alanoja;29
Alaoja;98
Ala-Olla;22
Ala-Opas;45
Alaoutinen;66
Ala-Outinen;78
Ala-Paavola;25
Alapaholuoma;26
Ala-Pantti;33
Ala-Panula;21
Alapappila;21
Ala-Pappila;43
Alapartanen;54
Ala-Peijari;27
Alapekkala;25
Alapelto;42
Alaperä;37
Alapere;45
Alapeteri;46
Alapiessa;25
Ala-Pietilä;24
Alapiha;194
Alapirtti;53
Alapoikela;31
Ala-Poikela;104
Ala-Pöntiö;43
Alapoti;21
Ala-Prinkkilä;27
Alapuranen;99
Alaraappana;60
Alaraasakka;75
Alaraatikka;85
Alaräihä;21
Alaräisänen;38
Ala-Rämi;33
Alaranta;216
Ala-Ranta;25
Ala-Rantala;37
Alaraudanjoki;78
Alarauhio;28
Alarautalahti;36
Alardt;30
Alare;20
Ala-Renko;56
Alariesto;56
Ala-Riihimäki;35
Alarotu;126
Alarousu;21
Alarova;22
Ala-Röyskö;31
Alarto;28
Alaruikka;113
Ala-Ruona;31
Alasaarela;130
Alasaari;209
Alasalmi;213
Ala-Salmi;49
Ala-Salomäki;20
Alasaukko-oja;53
Alasentie;64
Ala-Seppälä;48
Alasimi;42
Alasimonen;20
Ala-Sippola;25
Alasirniö;39
Ala-Siuru;20
Alasiurua;32
Alasjärvi;29
Alasmaa;38
Alasmäki;22
Alasorvari;25
Alasow;24
Alaspää;126
Alastalo;648
Alaste;46
Alasuutari;177
Alasuvanto;98
Alatainio;27
Ala-Tainio;23
Alatalkkari;30
Alatalo;2917
Alatarvas;62
Alatolonen;21
Alatörmä;20
Alatörmänen;21
Alatorvinen;28
Alatossava;60
Alatulkkila;27
Ala-Tuori;27
Alatupa;47
Ala-Turkia;50
Ala-Tuuhonen;39
Alatyppö;71
Ala-Uotila;67
Alava;245
Alavahtola;73
Alavaikko;46
Alavainio;24
Ala-Välkkilä;37
Ala-Vannesluoma;49
Ala-Varvi;52
Alaverronen;46
Alavesa;79
Ala-Viikari;33
Alaviippola;39
Alaviiri;38
Alaviitala;58
Alavillamo;68
Alaviuhkola;59
Alavuo;27
Alavuotunki;95
Al-Azzawi;27
Albäck;55
Albayrak;25
Albert;31
Albertsson;30
Albrecht;233
Al-Dulaimi;37
Aleksejev;23
Al-Emara;43
Alen;80
Alén;647
Alenius;531
Al-Essa;29
Alestalo;204
Alexander;56
Alexandersson;75
Alexeeva;21
Al-Faisal;23
Alftan;40
Alfthan;120
Ålgars;44
Al-Gburi;38
Alha;30
Alhainen;238
Alhamo;21
Alhanen;59
Alhasto;20
al-Hello;30
Alho;1791
Alhola;146
Alhomäki;49
Alhonen;315
Alhoniemi;33
Alhonmäki;72
Alhonoja;24
Alhonpää;22
Alhoranta;29
Alhosaari;20
Ali;1399
Ali Mohamed;27
Ali-Haapala;21
Alihanka;26
Ali-Hokka;45
Ali-Jaakkola;22
Alijärvi;32
Alijoki;34
Ali-Keskikylä;41
Ali-Kippari;28
Alikirri;52
Alikoski;108
Ali-Kovero;47
Alila;206
Ali-Lekkala;25
Ali-Löytty;58
Alimattila;24
Ali-Mattila;44
Ali-Melkkilä;25
Alin;203
Alinen;115
Alinikula;26
Alioravainen;27
Alipirjelä;21
Ali-Raatikainen;42
Aliranta;98
Ali-Rantala;38
Alisaari;26
Alisalo;24
Ali-Sisto;20
Aliska;23
Alitalo;339
al-Itawa;25
Ali-Tolppa;20
Alitupa;89
Aliu;51
Ali-Vehmas;20
Ali-Yrkkö;33
Alizada;38
Alizade;21
Alizadeh;27
Al-Janabi;24
Aljasalo;26
Al-Jumaili;26
al-Khafaji;35
al-Khalidi;20
al-Khalil;21
Al-Kharsani;28
Alkila;27
Alkio;217
Alkiomaa;27
Alkki;36
Alkkiomäki;61
Alkku;42
Alku;33
Alkula;160
Allan;29
Allas;20
Allen;139
Allén;239
Allenius;62
Aller;30
Alli;21
Älli;43
Allinen;115
Allinniemi;20
Allison;20
Allonen;194
Allt;20
Alm;527
Almark;31
Almén;47
Almenoksa;20
Almgren;131
Almi;40
Almonkari;22
Al-Mosawi;44
Almqvist;67
Almusa;23
al-Nazary;32
Al-Obaidi;40
Alonen;155
Alopaeus;105
Alppi;114
Alppinen;34
Alppiranta;32
Alppirinne;22
Alppisara;21
Alpua;61
Al-Rammahi;21
Al-Rubaye;36
Al-Saadi;20
Al-Seiab;25
Alsi;21
Alsila;23
Alsio;46
Alt;63
Al-Tameemi;27
Al-Tamimi;27
Altay;23
Altio;48
Altis;22
Altonen;77
Altti;74
Altug;36
Altun;49
Alutoin;22
Alvarez;44
Alvari;49
Alvasto;30
Alve;58
Alvela;20
Alvesalo;53
Alvik;28
Alvila;22
Alvinen;38
Alvoittu;25
Al-Zahu;32
Al-Zalimi;28
Åman;512
Amberg;47
Amberla;35
Ambrusin;36
Amee;20
Amin;107
Amini;51
Åminne;41
Aminoff;226
Amir;23
Amiri;111
Amirkhani;34
Ämmälä;370
Ämmänkoski;36
Ämmänpää;108
Ammesmäki;24
Ammondt;26
Ammunet;49
Amnell;51
Amonsen;24
Amper;51
Amperla;21
Ampiala;37
Ampuja;233
Ämtö;20
Änäkkälä;98
Ananin;84
Ånäs;94
Anckar;46
And;140
Andberg;92
Andelin;284
Andergård;52
Andersen;167
Andersén;116
Andersin;324
Anderson;299
Anderssén;72
Andersson;4953
Andler;23
Andlin;36
Andreasen;42
Andreasson;31
Andreev;39
Andreeva;43
Andrejeff;99
Andrejev;48
Andrésen;21
Andrews;22
Andronoff;33
Andsten;132
Andstén;44
Andström;98
Andtbacka;62
Andtfolk;58
Andtsjö;26
Anetjärvi;65
Angeli;43
Angelin;29
Angelva;20
Angelvuo;32
Angeria;212
Angerias;24
Angerman;26
Angervisto;24
Angervo;74
Angervuori;35
Ängeslevä;213
Anglé;54
Ania;48
Anias;50
Aninko;28
Anisimaa;47
Anjala;102
Ankelo;62
Ankerman;45
Änkilä;56
Änkiläinen;22
Ankkuri;130
Änkö;36
Annala;1356
Annaniemi;38
Annanolli;43
Annanpalo;50
Annanperä;20
Anneberg;50
Annila;119
Annola;188
Annunen;199
Anola-Pukkila;20
Anolin;38
Anonen;73
Anoschkin;35
Ansa;20
Ansaharju;70
Ansala;91
Ansamaa;247
Ansamäki;20
Ansaranta;25
Ansas;88
Ansio;133
Antamaniemi;20
Antas;77
Antell;225
Antere;23
Anteroinen;124
Antervo;20
Antfolk;138
Anthoni;54
Antikainen;2124
Antikka;29
Antila;1883
Antin;88
Antinaho;132
Antinkaapo;53
Antinluoma;49
Antinmaa;45
Antinniemi;39
Antinoja;129
Antintupa;21
Antman;133
Anto;68
Antola;228
Anton;27
Antonen;62
Antonov;30
Antonova;27
Antosalo;39
Antson;29
Anttalainen;300
Antti;63
Anttikoski;68
Anttila;9411
Anttilainen;106
Anttinen;132
Anttio;34
Anttiroiko;100
Anttola;56
Anttolainen;101
Anttonen;2438
Antturi;27
Anturaniemi;31
Antus;36
Ant-Wuorinen;45
Anundi;33
Anunti;69
Anwari;23
Apaja;46
Apajainen;24
Apajalahti;82
Apajasalo;24
Apell;200
Apiainen;23
Apila;47
Apilainen;56
Apilasaho;27
Apilisto;27
Apilo;42
Apo;64
Appel;158
Appelberg;55
Appelblom;33
Appelgren;103
Appelgrén;52
Appelö;21
Appelqvist;67
Appelroth;37
Appiah;29
Apponen;33
Apukka;33
Apuli;39
Apunen;46
Arab;76
Arajärvi;120
Arajuuri;23
Arala;42
Araneva;21
Aranko;51
Arasalo;37
Arasola;50
Aravirta;34
Arbelius;152
Archer;32
Arela;29
Arell;45
Arén;20
Arenius;70
Areva;66
Arffman;465
Arfman;44
Argillander;343
Arhio;23
Arhipoff;36
Arhippainen;74
Arho;66
Arhokari;34
Ari;23
Arifi;32
Arifullen;26
Arikan;22
Ariluoma;35
Arima;65
Arimaa;22
Arimo;20
Arino;37
Arisalo;35
Arjanne;31
Arjola;30
Arjoranta;49
Arjovuo;29
Arki;28
Arkimaa;22
Arkiomaa;30
Arkivuo;36
Arkkila;66
Arkko;304
Arkkola;35
Arkkukangas;55
Arkoma;20
Arlander;20
Ärlig;42
Arlin;36
Ärling;137
Ärmänen;25
Armanto;36
Armfelt;25
Armila;38
Arminen;508
Armio;20
Armstrong;28
Arnberg;79
Arnell;44
Arnivaara;21
Arnkil;83
Arnold;51
Aro;2134
Aroalho;57
Aro-Heinilä;59
Arohonka;36
Arojoki;24
Arokallio;20
Arokanto;34
Arokivi;49
Aro-Koivisto;27
Arokoski;26
Arola;1781
Ärölä;33
Arolaakso;41
Arolainen;30
Aromaa;502
Aromäki;148
Aronen;1037
Aronniemi;31
Aronoja;27
Aronpää;29
Aronpuro;35
Aronsson;25
Aropaltio;36
Aropelto;35
Arosarka;38
Arosilta;20
Arosuo;22
Arousva;35
Arovaara;58
Arovainio;20
Arpala;25
Arpalahti;53
Arpi;34
Arpiainen;337
Arpinen;28
Arpolahti;25
Arponen;895
Arposalo;22
Arppe;149
Arpula;28
Arra;57
Ärrälä;21
Arraste;23
Arrenius;48
Arrhenius;23
Arslan;50
Arstila;53
Arstio;30
Artama;34
Arte;62
Artell;97
Artes;21
Artimo;49
Artiola;30
Artjoki;26
Artman;28
Arttijeff;20
Artto;20
Arttola;23
Artukka;25
Artzén;27
Arva;21
Arvaja;50
Ärväs;94
Arve;59
Arvekari;27
Arvela;257
Arveli;26
Arvelin;58
Arvidsson;46
Arvila;172
Arvilahti;26
Arvilommi;108
Arvinen;30
Arvio;139
Arvo;167
Arvola;1040
Arvonen;498
Aryal;45
Asanti;31
Åsbacka;21
Aschan;67
Asell;73
Åsenbrygg;22
Ashraf;22
Asiainen;25
Asiala;128
Asikainen;4052
Asikanius;46
Asikkala;31
Ask;28
Aska;93
Askeli;20
Asklöf;30
Askola;188
Askolin;162
Askonen;54
Aslan;60
Asllani;25
Asmala;49
Asmundela;29
Asmundi;21
Åsnabrygg;27
Aso;32
Asp;679
Aspa;20
Aspbäck;61
Aspegren;302
Aspegrén;24
Aspelin;170
Aspelund;100
Aspfors;117
Aspholm;223
Aspiala;30
Aspila;35
Aspinen;65
Aspinmaa;31
Asplund;925
Aspnäs;27
Aspö;27
Aspola;25
Aspvik;35
Ässämäki;56
Assinen;59
Assola;20
Astala;148
Åstedt;55
Asteljoki;44
Åsten;46
Astikainen;408
Astola;33
Åstrand;239
Astrén;29
Åström;551
Asu;33
Asuinmaa;49
Asuintupa;54
Asuja;21
Asujamaa;38
Asukas;113
Asula;46
Asumaa;57
Asumalahti;42
Asumaniemi;84
Asumus;21
Asunen;40
Asunmaa;364
Asunta;112
Asunto;26
Åsvik;62
Atem;23
Ates;41
Atkins;26
Attenberg;35
Attila;85
Åttman;35
Atula;23
Auer;320
Auersalo;21
Auervuolle;36
Augustin;56
Augustsson;63
Auhtola;42
Aukeala;43
Aukee;50
Aukia;53
Aukio;22
Aula;289
Aulakoski;71
Aulamo;39
Aulanko;88
Aulaskari;34
Aulasuo;25
Aulén;82
Aulin;103
Aulio;85
Aulu;46
Aumala;27
Aumanen;76
Aumo;38
Aunala;37
Aunela;53
Aunesluoma;24
Aung;26
Aunio;192
Auno;92
Aunola;255
Aunula;31
Aura;486
Aurala;106
Auramaa;38
Auramo;139
Auranen;498
Auraneva;30
Aurasmaa;23
Auravuo;37
Aurén;39
Auri;34
Aurio;27
Aurola;29
Auronen;31
Auru;28
Auruksenaho;20
Austin;44
Autere;390
Auterinen;29
Autero;149
Autio;4445
Autiola;22
Autiomäki;52
Autioniemi;129
Autiosalo;22
Autiosuo;21
Autonen;33
Autti;234
Autto;113
Auvinen;3488
Åvall;105
Avantola;21
Avara;32
Avci;24
Avela;57
Avelin;140
Avellan;184
Avikainen;287
Avila;56
Åvist;96
Avola;26
Avonius;115
Awad;55
Ax;23
Axberg;58
Axelsson;148
Axén;56
Aydin;55
Aydogan;24
Äyhö;22
Äyhynmäki;43
Äyräs;149
Äyräväinen;124
Äyri;35
Äystö;48
Azad;20
Azemi;24
Azimi;27
Aziz;81
Azizi;99
Ba;27
Baarman;200
Baas;96
Babitzin;35
Bach;27
Bachmann;33
Back;900
Bäck;784
Backa;69
Backända;29
Backas;104
Backberg;31
Bäckblom;28
Backgren;21
Backholm;144
Backlund;921
Bäcklund;342
Backman;2678
Bäckman;1045
Bäckmark;20
Bäckroos;61
Bäcksbacka;35
Backström;306
Bäckström;797
Badar;20
Bade;24
Både;24
Baer;34
Bäf;29
Båga;39
Båge;31
Bagge;204
Baggström;71
Bågman;92
Bah;71
Bahne;26
Bailey;32
Bajrami;44
Baker;76
Bakir;53
Bakker;42
Bal;25
Bala;22
Balk;199
Balogh;20
Baltzar;197
Bamberg;142
Bang;54
Bång;23
Bär;46
Baran;34
Baranov;38
Baranova;31
Barck;298
Bärdén;35
Bardy;23
Bärholm;26
Bark;41
Barkar;40
Barkman;32
Bärling;53
Barlow;24
Bärlund;359
Barman;79
Bärman;21
Bärn;24
Barner-Rasmussen;21
Barnes;54
Baron;20
Barre;33
Barrett;33
Barrow;28
Barry;37
Barsk;153
Bas;37
Bask;78
Båsk;84
Båskman;29
Bast;34
Bastman;103
Båtman;24
Båtsman;21
Battilana;31
Bau;30
Bauer;103
Baumann;48
Baumgartner;72
Bayat;44
Bayer;29
Beck;60
Becker;194
Beckman;59
Bedretdin;57
Begu;25
Behm;575
Behrami;35
Beijar;165
Beka;31
Bekkevold;20
Belik;22
Bell;73
Beloff;25
Belov;70
Belova;20
Belt;28
Benamar;20
Bengs;190
Bengts;78
Bengtsson;137
Bennett;62
Bensky;24
Benson;41
Beqiri;68
Beranger;23
Berg;2778
Bergbacka;78
Bergbom;41
Bergdahl;115
Bergdal;29
Bergelin;23
Bergendahl;104
Bergenheim;22
Bergenwall;22
Berger;107
Bergfors;88
Berggren;173
Berggrén;30
Bergh;28
Berghäll;239
Berghem;76
Bergholm;389
Bergius;128
Bergkulla;26
Bergkvist;20
Berglind;40
Berglund;851
Bergman;1805
Bergmann;37
Bergqvist;252
Bergring;20
Bergroth;226
Bergström;1184
Bergvall;43
Bergvik;59
Berisha;123
Berlin;150
Bernard;33
Bernas;21
Berndtson;49
Berndtsson;70
Berner;83
Bernitz;40
Bernoulli;28
Bernström;24
Berry;38
Bertell;120
Bertlin;71
Bertling;36
Berts;86
Bertula;49
Beshar;33
Besic;23
Bexar;112
Bhandari;93
Bhatia;26
Bhattarai;26
Bhatti;20
Bhuiyan;42
Biaudet;29
Bibani;24
Biese;33
Bifeldt;36
Bilal;24
Bildo;56
Bilund;29
Bimberg;47
Bingham;25
Birkman;26
Birkstedt;21
Birling;55
Bisi;52
Biskop;148
Bister;276
Biström;162
Bitter;56
Bjolin;39
Bjon;60
Bjondahl;21
Bjong;29
Björck;21
Björk;949
Björkas;34
Björkbacka;318
Björkberg;37
Björkblom;29
Björkbom;52
Björke;43
Björkell;256
Björkenheim;51
Björkestam;20
Björkfors;20
Björkgård;49
Björkgren;143
Björkholm;179
Björklöf;305
Björklöv;24
Björklund;1878
Björkman;1000
Björknäs;71
Björkqvist;595
Björkroth;185
Björkskog;426
Björkstam;28
Björkstedt;42
Björksten;99
Björkstén;52
Björkstrand;100
Björkström;144
Björkvall;52
Björkvik;39
Björkwall;26
Björlin;45
Björling;20
Björn;655
Björnberg;24
Björndahl;81
Björnholm;93
Björni;41
Björninen;184
Björnström;58
Björnvik;69
Björs;73
Björses;81
Bjugg;26
Bjurbäck;21
Bjurström;47
Blå;43
Blåberg;42
Blad;40
Blåfield;126
Blanck;28
Blanco Sequeiros;21
Blank;20
Blankenstein;38
Blässar;30
Blick;25
Blinnikka;97
Blixt;35
Block;29
Blohin;25
Bloigu;68
Blom;1246
Blomback;21
Blomberg;1119
Blomberg von der Geest;24
Blomerus;562
Blomfeldt;34
Blomfelt;109
Blomgren;120
Blomkvist;24
Blommendahl;84
Blomquist;34
Blomqvist;3137
Blomroos;87
Blomros;24
Blomstedt;98
Blomster;612
Blomsterlund;32
Blomström;94
Blomvall;31
Blumenthal;25
Bly;46
Boateng;34
Bobacka;27
Boberg;67
Bock;25
Böckelman;32
Böckerman;130
Bodbacka;138
Bodman;37
Bodö;33
Boedeker;26
Boehm;20
Boelius;48
Bogdanoff;229
Bogdanov;53
Bogdanova;40
Bogel;47
Bogujevci;20
Böhling;81
Bohm;79
Böhm;110
Böhme;22
Boholm;32
Boij;32
Boije;26
Boije af Gennäs;25
Boijer;45
Boijer-Spoof;24
Boisman;21
Bojang;59
Boldt;20
Bolin;29
Böling;90
Bollström;585
Bolodin;47
Bolton;20
Bom;56
Boman;867
Bomanson;25
Bomberg;48
Bomström;64
Bondarenko;35
Bonde;50
Bonden;26
Bondén;38
Bondestam;42
Bondfolk;25
Bonn;102
Bonns;20
Bono;31
Bonsdorff;58
Böök;182
Böös;67
Booth;28
Borchers;21
Bordi;179
Boren;35
Borén;168
Borenius;110
Borg;670
Borgar;31
Borgelin;50
Borgenström;72
Borgman;204
Borgmästars;89
Borgström;244
Borisoff;22
Borisov;84
Borman;40
Börman;67
Borodavkin;32
Borodulin;39
Borup;20
Bos;22
Bosas;31
Bosnjakovic;23
Boström;699
Botan;27
Bothas;21
Bottas;31
Boucht;60
Bovellan;104
Boxberg;37
Boxström;53
Boyd;20
Bozkurt;22
Brådd;40
Bradley;23
Bragge;307
Brahimi;23
Braks;25
Brand;36
Brandenburg;22
Brander;378
Branders;33
Brandes;35
Brändström;28
Brandt;804
Bränn;75
Brännare;79
Brännback;31
Brännbacka;166
Brännkärr;118
Brännström;64
